Name,Type,Cat,PP,Att,Acc,OG Description
Absorb,Grass,Special,15,1d4,100,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
Acid,Poison,Special,10,2d4,100,The opposing team is attacked with a spray of harsh acid. The acid may also lower the targets' Sp. Def stats.
Acid Armor,Poison,Other,1,--,--,"The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
Acid Spray,Poison,Special,20,2d4,100,The user spits fluid that works to melt the target. This harshly reduces the target's Sp. Def stat.
Acrobatics,Flying,Physical,25,1d10,100,"The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage."
Acupressure,Normal,Other,10,--,--,"The user applies pressure to stress points, sharply boosting one of its stats."
Aerial Ace,Flying,Physical,20,1d12,--,"The user confounds the target with speed, then slashes. The attack lands without fail."
Aeroblast,Flying,Special,35,2d10,95,A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
After You,Normal,Other,25,--,--,The user helps the target and makes it use its move right after the user.
Agility,Psychc,Other,10,--,--,The user relaxes and lightens its body to move faster. It sharply boosts the Speed stat.
Air Cutter,Flying,Special,15,1d10,95,The user launches razor-like wind to slash the opposing team. Critical hits land more easily.
Air Slash,Flying,Special,20,3d4,95,The user attacks with a blade of air that slices even the sky. It may also make the target flinch.
Ally Switch,Psychc,Other,25,--,--,The user teleports using a strange power and switches its place with one of its allies.
Amnesia,Psychc,Other,20,--,--,The user temporarily empties its mind to forget its concerns. It sharply raises the user's Sp. Def stat.
Ancientpower,Rock,Special,35,1d12,100,The user attacks with a prehistoric power. It may also raise all the user's stats at once.
Aqua Jet,Water,Physical,20,2d4,100,The user lunges at the target at a speed that makes it almost invisible. It is sure to strike first.
Aqua Ring,Water,Other,20,--,--,The user envelops itself in a veil made of water. It regains some HP on every turn.
Aqua Tail,Water,Physical,30,2d8,90,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
Arm Thrust,Fight,Physical,20,1d2,100,The user looses a flurry of open-palmed arm thrusts that hit two to five times in a row.
Aromatherapy,Grass,Other,35,--,--,The user releases a soothing scent that heals all status problems affecting the user's party.
Assist,Normal,Other,20,--,--,The user hurriedly and randomly uses a move among those known by other Pokémon in the party.
Assurance,Dark,Physical,30,1d10,100,"If the target has already taken some damage in the same turn, this attack's power is doubled."
Astonish,Ghost,Physical,25,1d6,100,The user attacks the target while shouting in a startling fashion. It may also make the target flinch.
Attack Order,Bug,Physical,25,2d8,100,The user calls out its underlings to pummel the target. Critical hits land more easily.
Attract,Normal,Other,25,--,100,"If it is the opposite gender of the user, the target becomes infatuated and less likely to attack."
Aura Sphere,Fight,Special,20,2d8,--,The user looses a blast of aura power from deep within its body at the target. This move is certain to hit.
Aurora Beam,Ice,Special,20,2d6,100,The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.
Autotomize,Steel,Other,25,--,--,The user sheds part of its body to make itself lighter and sharply raise its Speed stat.
Avalanche,Ice,Physical,30,1d12,100,An attack move that inflicts double the damage if the user has been hurt by the target in the same turn.
Barrage,Normal,Physical,20,1d2,85,Round objects are hurled at the target to strike two to five times in a row.
Barrier,Psychc,Other,10,--,--,The user throws up a sturdy wall that sharply raises its Defense stat.
Baton Pass,Normal,Other,1,--,--,"The user switches places with a party Pokémon in waiting, passing along any stat changes."
Beat Up,Dark,Physical,30,--,100,"The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks."
Belly Drum,Normal,Other,30,--,--,The user maximizes its Attack stat in exchange for HP equal to half its max HP.
Bestow,Normal,Other,25,--,--,The user passes its held item to the target when the target isn't holding an item.
Bide,Normal,Physical,30,--,--,"The user endures attacks for two turns, then strikes back to cause double the damage taken."
Bind,Normal,Physical,20,1d2,85,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
Bite,Dark,Physical,15,1d12,100,The target is bitten with viciously sharp fangs. It may make the target flinch.
Blast Burn,Fire,Special,35,3d10,90,"The target is razed by a fiery explosion. The user must rest on the next turn, however."
Blaze Kick,Fire,Physical,30,2d8,90,The user launches a kick that lands a critical hit more easily. It may also leave the target with a burn.
Blizzard,Ice,Special,35,2d12,70,A howling blizzard is summoned to strike the opposing team. It may also freeze them solid.
Block,Normal,Other,35,--,--,The user blocks the target's way with arms spread wide to prevent escape.
Blue Flare,Fire,Special,35,3d8,85,"The user attacks by engulfing the target in an intense, yet beautiful, blue flame. It may leave the target with a burn."
Body Slam,Normal,Physical,25,2d8,100,The user drops onto the target with its full body weight. It may also leave the target with paralysis.
Bolt Strike,Electr,Physical,35,3d8,85,"The user charges its target, surrounding itself with a great amount of electricity. It may leave the target with paralysis."
Bone Club,Ground,Physical,20,2d6,85,The user clubs the target with a bone. It may also make the target flinch.
Bone Rush,Ground,Physical,30,1d4,90,The user strikes the target with a hard bone two to five times in a row.
Bonemerang,Ground,Physical,30,1d10,90,"The user throws the bone it holds. The bone loops to hit the target twice, coming and going."
Bounce,Flying,Physical,35,2d8,85,"The user bounces up high, then drops on the target on the second turn. It may also leave the target with paralysis."
Brave Bird,Flying,Physical,25,2d12,100,The user tucks in its wings and charges from a low altitude. The user also takes serious damage.
Brick Break,Fight,Physical,25,3d4,100,The user attacks with a swift chop. It can also break any barrier such as Light Screen and Reflect.
Brine,Water,Special,30,2d6,100,"If the target's HP is down to about half, this attack will hit with double the power."
Bubble,Water,Special,10,1d4,100,A spray of countless bubbles is jetted at the opposing team. It may also lower the targets' Speed stats.
Bubblebeam,Water,Special,20,2d6,100,A spray of bubbles is forcefully ejected at the opposing team. It may also lower their Speed stats.
Bug Bite,Bug,Physical,20,1d12,100,"The user bites the target. If the target is holding a Berry, the user eats it and gains its effect."
Bug Buzz,Bug,Special,30,2d8,100,The user vibrates its wings to generate a damaging sound wave. It may also lower the target's Sp. Def stat.
Bulk Up,Fight,Other,20,--,--,"The user tenses its muscles to bulk up its body, boosting both its Attack and Defense stats."
Bulldoze,Ground,Physical,20,1d12,100,The user stomps down on the ground and attacks everything in the area. Hit Pokémon's Speed stat is reduced.
Bullet Punch,Steel,Physical,10,2d4,100,The user strikes the target with tough punches as fast as bullets. This move always goes first.
Bullet Seed,Grass,Physical,10,1d4,100,The user forcefully shoots seeds at the target. Two to five seeds are shot in rapid succession.
Calm Mind,Psychc,Other,20,--,--,The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.
Camouflage,Normal,Other,20,--,--,"The user's type is changed depending on its environment, such as at water's edge, in grass, or in a cave."
Captivate,Normal,Other,20,--,100,"If it is the opposite gender of the user, the target is charmed into harshly lowering its Sp. Atk stat."
Charge,Electr,Other,20,--,--,The user boosts the power of the Electric move it uses on the next turn. It also raises the user's Sp. Def stat.
Charge Beam,Electr,Special,30,1d10,90,The user attacks with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.
Charm,Normal,Other,20,--,100,"The user gazes at the target rather charmingly, making it less wary. The target's Attack is harshly lowered."
Chatter,Flying,Special,20,1d12,100,The user attacks using a sound wave based on words it has learned. It may also confuse the target.
Chip Away,Normal,Physical,20,3d4,100,"Looking for an opening, the user strikes continually. The target's stat changes don't affect this attack's damage."
Circle Throw,Fight,Physical,30,1d12,90,"The user throws the target and drags out another Pokémon in its party. In the wild, the battle ends."
Clamp,Water,Physical,25,1d6,85,The target is clamped and squeezed by the user's very thick and sturdy shell for four to five turns.
Clear Smog,Poison,Special,25,1d10,--,The user attacks by throwing a clump of special mud. All status changes are returned to normal.
Close Combat,Fight,Physical,35,2d12,100,The user fights the target up close without guarding itself. It also cuts the user's Defense and Sp. Def.
Coil,Poison,Other,20,--,--,The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy.
Comet Punch,Normal,Physical,25,1d2,85,The target is hit with a flurry of punches that strike two to five times in a row.
Confuse Ray,Ghost,Other,30,--,100,The target is exposed to a sinister ray that triggers confusion.
Confusion,Psychc,Special,15,1d10,100,The target is hit by a weak telekinetic force. It may also leave the target confused.
Constrict,Normal,Physical,5,1d2,100,"The target is attacked with long, creeping tentacles or vines. It may also lower the target's Speed stat."
Conversion,Normal,Other,10,--,--,The user changes its type to become the same type as one of its moves.
Conversion 2,Normal,Other,10,--,--,The user changes its type to make itself resistant to the type of the attack the opponent used last.
Copycat,Normal,Other,20,--,--,The user mimics the move used immediately before it. The move fails if no other move has been used yet.
Cosmic Power,Psychc,Other,20,--,--,The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.
Cotton Guard,Grass,Other,30,--,--,"The user protects itself by wrapping its body in soft cotton, drastically raising the user's Defense stat."
Cotton Spore,Grass,Other,1,--,100,"The user releases cotton-like spores that cling to the target, harshly reducing its Speed stat."
Counter,Fight,Physical,20,--,100,"A retaliation move that counters any physical attack, inflicting double the damage taken."
Covet,Normal,Physical,1,1d12,100,"The user endearingly approaches the target, then steals the target's held item."
Crabhammer,Water,Physical,30,2d8,90,The target is hammered with a large pincer. Critical hits land more easily.
Cross Chop,Fight,Physical,35,2d10,80,The user delivers a double chop with its forearms crossed. Critical hits land more easily.
Cross Poison,Poison,Physical,20,3d4,100,A slashing attack with a poisonous blade that may also leave the target poisoned. Critical hits land more easily.
Crunch,Dark,Physical,25,3d4,100,The user crunches up the target with sharp fangs. It may also lower the target's Defense stat.
Crush Claw,Normal,Physical,30,3d4,95,The user slashes the target with hard and sharp claws. It may also lower the target's Defense.
Crush Grip,Normal,Physical,35,--,100,The target is crushed with great force. The attack is more powerful the more HP the target has left.
Curse,Ghost,Other,30,--,--,A move that works differently for the Ghost type than for all other types.
Cut,Normal,Physical,10,1d10,95,The target is cut with a scythe or a claw. It can also be used to cut down thin trees.
Dark Pulse,Dark,Special,25,3d4,100,The user releases a horrible aura imbued with dark thoughts. It may also make the target flinch.
Dark Void,Dark,Other,30,--,80,Opposing Pokémon are dragged into a world of total darkness that makes them sleep.
Defend Order,Bug,Other,30,--,--,"The user calls out its underlings to shield its body, raising its Defense and Sp. Def stats."
Defense Curl,Normal,Other,1,--,--,The user curls up to conceal weak spots and raise its Defense stat.
Defog,Flying,Other,25,--,--,A strong wind blows away the target's obstacles such as Reflect or Light Screen. It also lowers the target's evasiveness.
Destiny Bond,Ghost,Other,35,--,--,"When this move is used, if the user faints, the Pokémon that landed the knockout hit also faints."
Detect,Fight,Other,35,--,--,It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.
Dig,Ground,Physical,30,3d4,100,"The user burrows, then attacks on the second turn. It can also be used to exit dungeons."
Disable,Normal,Other,20,--,100,"For four turns, this move prevents the target from using the move it last used."
Discharge,Electr,Special,25,3d4,100,A flare of electricity is loosed to strike the area around the user. It may also cause paralysis.
Dive,Water,Physical,30,3d4,100,"Diving on the first turn, the user floats up and attacks on the second turn. It can be used to dive deep in the ocean."
Dizzy Punch,Normal,Physical,30,3d4,100,The target is hit with rhythmically launched punches that may also leave it confused.
Doom Desire,Steel,Special,35,3d8,100,"Two turns after this move is used, the user blasts the target with a concentrated bundle of light."
Double Hit,Normal,Physical,30,1d6,90,"The user slams the target with a long tail, vines, or tentacle. The target is hit twice in a row."
Double Kick,Fight,Physical,10,1d6,100,The target is quickly kicked twice in succession using both feet.
Double Team,Normal,Other,25,--,--,"By moving rapidly, the user makes illusory copies of itself to raise its evasiveness."
Double-edge,Normal,Physical,25,2d12,100,"A reckless, life-risking tackle. It also damages the user by a fairly large amount, however."
Doubleslap,Normal,Physical,30,1d2,85,"The target is slapped repeatedly, back and forth, two to five times in a row."
Draco Meteor,Dragon,Special,35,3d8,90,Comets are summoned down from the sky onto the target. The attack's recoil harshly reduces the user's Sp. Atk stat.
Dragon Claw,Dragon,Physical,25,3d4,100,"The user slashes the target with huge, sharp claws."
Dragon Dance,Dragon,Other,20,--,--,"The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats."
Dragon Pulse,Dragon,Special,30,2d8,100,The target is attacked with a shock wave generated by the user's gaping mouth.
Dragon Rage,Dragon,Special,30,--,100,This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.
Dragon Rush,Dragon,Physical,30,2d10,75,The user tackles the target while exhibiting overwhelming menace. It may also make the target flinch.
Dragon Tail,Dragon,Physical,30,1d12,90,"The user knocks away the target and drags out another Pokémon in its party. In the wild, the battle ends."
Dragonbreath,Dragon,Special,20,1d12,100,The user exhales a mighty gust that inflicts damage. It may also leave the target with paralysis.
Drain Punch,Fight,Physical,30,3d4,100,An energy-draining punch. The user's HP is restored by half the damage taken by the target.
Dream Eater,Psychc,Special,25,2d10,100,The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal the user's HP.
