Ability,Habilidad,Effect,Efecto
Adaptability,Adaptabilidad,Moves of the same type as the user recieve double level bonus.,Los movimientos cuyo tipo coincida con el usuario reciben dos veces el bono de nivel.
Aftermath,Detonacion,Damages 1d20 HP the attacker if it knocks out the Pokémon with a move that makes direct contact.,Daña 1d20 HP al pokémon que le ha dado el golpe de gracia con un movimiento de contacto.
Analytic,Cálculo final,"If the user is last on a round, their attacks do at least half the possible damage.","Si es el usuario es último en atacar en la ronda, sus ataques hacen como mínimo la mitad posible del daño."
Anger Point,Irascible,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.","Si recibe un golpe crítico, monta en cólera y su ataque aumenta al máximo."
Big Pecks,Sacapecho,Prevents the Pokémon from having its Defense stat lowered.,Impide que otros pokemon le reduzcan la defensa.
Blaze,Mar llamas,Doubles the amount of dice for Fire-type moves when the Pokémon's HP is below 20%.,Duplica los dados utilizados en movimientos de tipo fuego cuando el HP está por debajo del 20%.
Chlorophyll,Clorofila,Boosts the Pokémon's Speed stat by 50 in harsh sunlight.,Aumena la velocidad en 50 cuando hace sol.
Clear Body,Cuerpo puro,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,Evita que se reduzcan sus características a causa de movimientos o habilidades de otros pokemon.
Compound eyes,Ojo compuesto,The Pokémon's compound eyes boost its accuracy by 50.,Aumenta la presición de sus movimientos en 50.
Contrary,Respondón,Reverses any stat changes affecting the Pokémon so that attempts to boost its stats instead lower them — and attempts to lower its stats will boost them.,Invierte los cambios en las características: bajan cuando les toca subir y suben cuando les toca bajar.
Cursed Body,Cuerpo maldito,After a move that has dealt damage to the Pokémon throw 1d10 and if it results in a 3 or lower it disables said move for 4 turns.,"Luego de recibir daño lanza 1d10, si el resultado es menor o igual a 3, anula el movimiento por 4 turnos."
Cute Charm,Gran encanto,"When the Pokémon is hit by an attacker from the opposite sex, throw 1d10 and if it results in a 3 or lower, the attacker is now infatuated.","Si el pokémon que ataca es del sexo opuesto, lanza 1d10, si el resultado es menor o igual a 3, causa enamoramiento al pokemon atacante."
