Name,Nombre,Type,Theme,Cat,PP,Att,Appeal,Acc,Effect,Efecto
Absorb,Absorber,Grass,Clever,Special,15,1d4,4,0,User recovers half the HP inflicted on opponent.,El usuario recupera la mitad de los hp infligidos al oponente.
Acid,Ácido,Poison,Clever,Special,10,2d4,3,0,Throw 1d10 and if the result is equal to 1 it will lower opponent's special defense.,Lanza 1d10 y si el resultado es igual a 1 bajará la defensa especial del oponente.
Acid Armor,Armadura ácida,Poison,Tough,Other,1,--,1,0,Adds +33 to user's defense.,Agrega +33 a la defensa del usuario.
Acid Spray,Bomba ácida,Poison,Beautiful,Special,20,2d4,2,0,Reduces -50 to the opponent's special defense.,Reduce -50 a la defensa especial del oponente.
Acrobatics,Acróbata,Flying,Cool,Physical,25,1d10,1,0,Double damage when the user does not have a held item.,Doble daño cuando el usuario no tiene ningún objeto retenido.
Acupressure,Acupresión,Normal,Tough,Other,10,--,1,0,"Adds +33 to (1d6): 1:HP, 2:att, 3:def, 4:spa, 5:spd, 6:spe.","Agrega +33 a (1d6): 1:hp, 2:att, 3:def, 4:spa, 5:spd, 6:spe."
Aerial Ace,Golpe aéreo,Flying,Cool,Physical,20,1d12,2,0,Ignores defenses.,Ignora las defensas.
Aeroblast,Aerochorro,Flying,Cool,Special,35,2d10,3,-5,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque 1d100.
After You,Cede paso,Normal,Cute,Other,25,--,3,0,Allows friendly target to use one move before opponent's moves.,Permite que el objetivo amigo use un movimiento antes que los movimientos del oponente.
Agility,Agilidad,Psychc,Cool,Other,10,--,3,0,Adds +33 to user's speed.,Agrega +33 a la velocidad del usuario.
Air Cutter,Aire afilado,Flying,Cool,Special,15,1d10,4,-5,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll. Hits all opposing pokémon in range.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque 1d100. Golpea a todos los Pokémon enemigos dentro de su alcance.
Air Slash,Tajo aéreo,Flying,Cool,Special,20,3d4,1,-5,Throw 1d10 and if the result is equal or less than 3 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 3 provocará un estremecimiento.
Ally Switch,Cambio de banda,Psychc,Clever,Other,25,--,3,0,User switches places with one teammate.,El usuario cambia de lugar con un compañero de equipo.
Amnesia,Amnesia,Psychc,Cute,Other,20,--,1,0,Adds +33 to user's special defense.,Agrega +33 a la defensa especial del usuario.
