National,Pokemon,HP,Att,Def,SpA,SpD,Spe,PPs,Type 1,Type 2,Altura,Height,Peso,Weight,Min. Level,Evolv,Description,Descripción,Ab 1,Ab 2,H Ab,% Male,Tm moves,Lvl 1 (1-14),Lvl 2 (15-20),Lvl 3 (21 - 23),Lvl 4 (24 - 27),Lvl 5 (28-31),Lvl 6 (32 - 35),Lvl 7 (36 - 39),Lvl 8 (40 - 41),Lvl 9 (42 - 50),Lvl 10 (51 -
494,Victini,100,100,100,100,100,100,35,Psychic,Fire,Diminuto,Tiny,Peso pluma,Featherweight,10,,"When it shares the infinite energy it creates, that being's entire body will be overflowing with power.","Cuando Victini comparte su energía ilimitada, esa persona o Pokémon irradia abundante poder.",Victory Star,Victory Star,Victory Star,--,"Psyshock, Toxic, Hidden Power, Sunny Day, Taunt, Hyper Beam, Light Screen, Protect, Telekinesis, Safeguard, Frustration, SolarBeam, Thunderbolt, Thunder, Return, Psychic, Shadow Ball, Brick Break, Double Team, Flamethrower, Fire Blast, Facade, Flame Charge, Rest, Round, Overheat, Focus Blast, Energy Ball, Fling, Charge Beam, Incinerate, Will-O-Wisp, Embargo, Giga Impact, Flash, Thunder Wave, Psych Up, Work Up, Grass Knot, Swagger, U-turn, Substitute, Trick Room, Wild Charge, Rock Smash","Searing Shot, Focus Energy, Confusion, Incinerate, Quick Attack, Endure",Headbutt,Flame Charge,,Flame Charge,Reversal,,Flame Burst,Zen Headbutt,"Inferno, Double-Edge, Flare Blitz, Final Gambit, Stored Power, Overheat"
495,Snivy,45,45,55,45,55,63,25,Grass,,Pequeño,Small,Ligero,Lightweight,1,,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.,"Cuando recibe los rayos de sol, se mueve mucho más rápido que de costumbre. Usa mejor sus lianas que sus manos.",Overgrow,Overgrow,Contrary,80%,"Calm Mind, Toxic, Hidden Power, Sunny Day, Taunt, Light Screen, Protect, Safeguard, Frustration, SolarBeam, Return, Double Team, Reflect, Aerial Ace, Torment, Facade, Rest, Attract, Round, Energy Ball, Flash, Swords Dance, Grass Knot, Swagger, Substitute, Cut","Tackle, Leer, Vine Whip, Wrap, Growth","Leaf Tornado, Leech Seed",Mega Drain,Slam,"Leaf Blade, Coil",Giga Drain,Wring Out,Gastro Acid,Leaf Storm,
496,Servine,60,60,75,60,75,83,25,Grass,,Pequeño,Small,Ligero,Lightweight,4,lvl,"When it gets dirty, its leaves can't be used in photosynthesis, so it always keeps itself clean.","Cuando su cuerpo está sucio, no puede realizar la fotosíntesis con sus hojas, así que cuida mucho su higiene personal.",Overgrow,Overgrow,Contrary,80%,"Calm Mind, Toxic, Hidden Power, Sunny Day, Taunt, Light Screen, Protect, Safeguard, Frustration, SolarBeam, Return, Double Team, Reflect, Aerial Ace, Torment, Facade, Rest, Attract, Round, Energy Ball, Flash, Swords Dance, Grass Knot, Swagger, Substitute, Cut","Tackle, Leer, Vine Whip, Wrap, Leer, Vine Whip, Wrap, Growth","Leaf Tornado, Leech Seed",,Mega Drain,Slam,Leaf Blade,Coil,Giga Drain,"Wring Out, Gastro Acid",Leaf Storm
497,Serperior,75,75,95,75,95,113,25,Grass,,Grande,Big,Intermedio,Middleweight,7,lvl,It only gives its all against strong opponents who are not fazed by the glare from Serperior's noble eyes.,Tan solo muestra su verdadero poder a quienes no se amedrentan ante su noble pero inquisitoria mirada.,Overgrow,Overgrow,Contrary,80%,"Calm Mind, Toxic, Hidden Power, Sunny Day, Taunt, Hyper Beam, Light Screen, Protect, Safeguard, Frustration, SolarBeam, Return, Double Team, Reflect, Aerial Ace, Torment, Facade, Rest, Attract, Round, Energy Ball, Giga Impact, Flash, Swords Dance, Dragon Tail, Grass Knot, Swagger, Substitute, Rock Smash, Cut, Strength","Tackle, Leer, Vine Whip, Wrap, Leer, Vine Whip, Wrap, Growth","Leaf Tornado, Leech Seed",,Mega Drain,Slam,Leaf Blade,Coil,,"Giga Drain, Wring Out","Gastro Acid, Leaf Storm"
498,Tepig,65,63,45,45,45,45,25,Fire,,Pequeño,Small,Ligero,Lightweight,1,,"It loves to eat roasted berries, but sometimes it gets too excited and burns them to a crisp.","Le encanta comer bayas tostadas, pero a veces se emociona demasiado y termina churruscándolas.",Blaze,Blaze,Thick Fat,80%,"Roar, Toxic, Hidden Power, Sunny Day, Taunt, Protect, Frustration, SolarBeam, Return, Double Team, Flamethrower, Fire Blast, Rock Tomb, Facade, Flame Charge, Rest, Attract, Round, Echoed Voice, Overheat, Incinerate, Will-O-Wisp, Gyro Ball, Grass Knot, Swagger, Substitute, Wild Charge, Rock Smash, Strength","Tackle, Tail Whip, Ember, Odor Sleuth, Defense Curl","Flame Charge, Smog",Rollout,"Take Down, Heat Crash",Assurance,Flamethrower,"Head Smash, Roar",,Flare Blitz,
499,Pignite,90,93,55,70,55,55,25,Fire,Fighting,Pequeño,Small,Intermedio,Middleweight,4,lvl,"The more it eats, the more fuel it has to make the fire in its stomach stronger. This fills it with even more power.","Cuanto más come, más combustible tiene en su interior para avivar sus llamas, con lo que también aumenta su poder.",Blaze,Blaze,Thick Fat,80%,"Roar, Toxic, Hidden Power, Sunny Day, Taunt, Protect, Frustration, SolarBeam, Return, Brick Break, Double Team, Flamethrower, Fire Blast, Rock Tomb, Facade, Flame Charge, Rest, Attract, Low Sweep, Round, Echoed Voice, Overheat, Focus Blast, Fling, Incinerate, Will-O-Wisp, Stone Edge, Gyro Ball, Bulldoze, Rock Slide, Work Up, Poison Jab, Grass Knot, Swagger, Substitute, Wild Charge, Rock Smash, Strength","Tackle, Tail Whip, Ember, Odor Sleuth, Tail Whip, Ember, Odor Sleuth, Defense Curl","Flame Charge, Arm Thrust, Smog",Rollout,,"Take Down, Heat Crash",,"Assurance, Flamethrower",,"Head Smash, Roar",Flare Blitz
500,Emboar,110,123,65,100,65,65,25,Fire,Fighting,Mediano,Medium,Intermedio,Middleweight,7,lvl,A flaring beard of fire is proof that it is fired up. It is adept at using many different moves.,El hecho de que su barba prenda en llamas es indicio de que tiene ganas de luchar. Domina numerosos movimientos.,Blaze,Blaze,Blaze,80%,"Roar, Toxic, Bulk Up, Hidden Power, Sunny Day, Taunt, Hyper Beam, Protect, Frustration, SolarBeam, Smack Down, Earthquake, Return, Brick Break, Double Team, Flamethrower, Fire Blast, Rock Tomb, Facade, Flame Charge, Rest, Attract, Low Sweep, Round, Echoed Voice, Overheat, Focus Blast, Scald, Fling, Incinerate, Will-O-Wisp, Giga Impact, Stone Edge, Gyro Ball, Bulldoze, Rock Slide, Work Up, Poison Jab, Grass Knot, Swagger, Substitute, Wild Charge, Rock Smash, Strength","Hammer Arm, Tackle, Tail Whip, Ember, Odor Sleuth, Tail Whip, Ember, Odor Sleuth, Defense Curl","Flame Charge, Arm Thrust, Smog",Rollout,,"Take Down, Heat Crash",,Assurance,,"Flamethrower, Head Smash","Roar, Flare Blitz"
501,Oshawott,55,55,45,63,45,45,25,Water,,Pequeño,Small,Ligero,Lightweight,1,,The scalchop on its stomach isn't just used for battle--it can be used to break open hard berries as well.,"La vieira de su ombligo no solo sirve como arma, sino también como instrumento para cortar las bayas que estén duras.",Torrent,Torrent,Shell Armor,80%,"Toxic, Hail, Hidden Power, Taunt, Ice Beam, Blizzard, Protect, Rain Dance, Frustration, Return, Dig, Double Team, Aerial Ace, Facade, Rest, Attract, Round, False Swipe, Scald, Fling, Retaliate, Swords Dance, X-Scissor, Grass Knot, Swagger, Substitute, Rock Smash, Cut, Surf, Waterfall, Dive","Tackle, Tail Whip, Water Gun, Water Sport, Focus Energy","Razor Shell, Fury Cutter",Water Pulse,Revenge,"Aqua Jet, Encore",Aqua Tail,Retaliate,Swords Dance,Swords Dance,
502,Dewott,75,75,60,83,60,60,25,Water,,Pequeño,Small,Ligero,Lightweight,4,lvl,"As a result of strict training, each Dewott learns different forms for using the scalchops.","Tras un exhaustivo entrenamiento, Dewott puede dominar diversas técnicas para usar con sus vieiras.",Torrent,Torrent,Shell Armor,80%,"Toxic, Hail, Hidden Power, Taunt, Ice Beam, Blizzard, Protect, Rain Dance, Frustration, Return, Dig, Double Team, Aerial Ace, Facade, Rest, Attract, Round, False Swipe, Scald, Fling, Retaliate, Swords Dance, X-Scissor, Grass Knot, Swagger, Substitute, Rock Smash, Cut, Surf, Waterfall, Dive","Tackle, Tail Whip, Water Gun, Water Sport, Tail Whip, Water Gun, Water Sport, Focus Energy","Razor Shell, Fury Cutter",,Water Pulse,Revenge,Aqua Jet,Encore,Aqua Tail,"Retaliate, Swords Dance",Hydro Pump
503,Samurott,95,100,85,108,70,70,25,Water,,Mediano,Medium,Intermedio,Middleweight,7,lvl,"In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs.","En un abrir y cerrar de ojos, puede desenvainar y envainar los sables que hay en sus patas delanteras.",Torrent,Torrent,Shell Armor,80%,"Toxic, Hail, Hidden Power, Taunt, Ice Beam, Blizzard, Hyper Beam, Protect, Rain Dance, Frustration, Return, Dig, Double Team, Aerial Ace, Facade, Rest, Attract, Round, False Swipe, Scald, Fling, Retaliate, Giga Impact, Swords Dance, X-Scissor, Dragon Tail, Grass Knot, Swagger, Substitute, Rock Smash, Cut, Surf, Strength, Waterfall, Dive","Megahorn, Tackle, Tail Whip, Water Gun, Water Sport, Tail Whip, Water Gun, Water Sport, Focus Energy","Razor Shell, Fury Cutter",,Water Pulse,Revenge,Aqua Jet,"Slash, Encore",,"Aqua Tail, Retaliate","Swords Dance, Hydro Pump"
